index,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
13329,Lacy-Lakeview,Lacy-Lakeview,31.6292,-97.1052,United States,US,USA,Texas,,6611.0,1840020818
13330,Amite City,Amite City,30.7323,-90.5133,United States,US,USA,Louisiana,,6609.0,1840036149
13331,Lawrence,Lawrence,40.6042,-73.7149,United States,US,USA,New York,,6607.0,1840005303
13332,Irvington,Irvington,41.0349,-73.8661,United States,US,USA,New York,,6606.0,1840004933
13333,Orange Lake,Orange Lake,41.5319,-74.0936,United States,US,USA,New York,,6603.0,1840004859
13334,Pembroke Park,Pembroke Park,25.9852,-80.1777,United States,US,USA,Florida,,6602.0,1840017273
13335,Lemoore Station,Lemoore Station,36.2633,-119.9049,United States,US,USA,California,,6601.0,1840074319
13336,Belle Plaine,Belle Plaine,44.6189,-93.7644,United States,US,USA,Minnesota,,6599.0,1840006775
13337,Catasauqua,Catasauqua,40.6531,-75.4643,United States,US,USA,Pennsylvania,,6596.0,1840001045
13338,Howland Center,Howland Center,41.2483,-80.7444,United States,US,USA,Ohio,,6594.0,1840034386
13339,Essex,Essex,41.3499,-72.4146,United States,US,USA,Connecticut,,6588.0,1840045013
13340,Indian River Estates,Indian River Estates,27.3564,-80.2984,United States,US,USA,Florida,,6585.0,1840029044
13341,East Rochester,East Rochester,43.112,-77.4869,United States,US,USA,New York,,6583.0,1840004289
13342,Ironwood,Ironwood,46.4522,-90.1505,United States,US,USA,Michigan,,6582.0,1840001942
13343,Hapeville,Hapeville,33.6609,-84.4093,United States,US,USA,Georgia,,6581.0,1840013663
13344,International Falls,International Falls,48.5884,-93.4083,United States,US,USA,Minnesota,,6581.0,1840007684
13345,Cherryville,Cherryville,35.3844,-81.3781,United States,US,USA,North Carolina,,6579.0,1840014589
13346,Slippery Rock,Slippery Rock,41.0695,-80.058,United States,US,USA,Pennsylvania,,6578.0,1840000874
13347,Waimanalo,Waimanalo,21.3421,-157.7303,United States,US,USA,Hawaii,,6578.0,1840029558
13348,Savage,Savage,39.1485,-76.8228,United States,US,USA,Maryland,,6577.0,1840026664
13349,Veneta,Veneta,44.0471,-123.3514,United States,US,USA,Oregon,,6575.0,1840021264
13350,Abilene,Abilene,38.9229,-97.2251,United States,US,USA,Kansas,,6575.0,1840001629
13351,Decatur,Decatur,33.2269,-97.5886,United States,US,USA,Texas,,6574.0,1840019385
13352,Hillsboro,Hillsboro,39.2123,-83.6113,United States,US,USA,Ohio,,6573.0,1840007375
13353,Lexington,Lexington,35.6611,-88.3946,United States,US,USA,Tennessee,,6573.0,1840014527
13354,Laurel Bay,Laurel Bay,32.4599,-80.7869,United States,US,USA,South Carolina,,6572.0,1840013817
13355,Wharton,Wharton,40.8999,-74.5808,United States,US,USA,New Jersey,,6571.0,1840000955
13356,Keyser,Keyser,39.4394,-78.9822,United States,US,USA,West Virginia,,6571.0,1840005723
13357,Prairie du Chien,Prairie du Chien,43.0434,-91.1383,United States,US,USA,Wisconsin,,6571.0,1840002890
13359,Granite Falls,Granite Falls,48.0874,-121.9704,United States,US,USA,Washington,,6565.0,1840019787
13360,North Riverside,North Riverside,41.8461,-87.8263,United States,US,USA,Illinois,,6564.0,1840011303
13361,Blackwell,Blackwell,36.8011,-97.3009,United States,US,USA,Oklahoma,,6564.0,1840018980
13362,Rittman,Rittman,40.9737,-81.7846,United States,US,USA,Ohio,,6564.0,1840009372
13363,Belmont,Belmont,39.065,-77.4965,United States,US,USA,Virginia,,6563.0,1840024496
13364,Yorketown,Yorketown,40.3064,-74.3385,United States,US,USA,New Jersey,,6563.0,1840033488
13365,Nitro,Nitro,38.4119,-81.8194,United States,US,USA,West Virginia,,6561.0,1840006199
13366,Parkwood,Parkwood,47.5266,-122.5986,United States,US,USA,Washington,,6559.0,1840037518
13367,Gypsum,Gypsum,39.6286,-106.9334,United States,US,USA,Colorado,,6552.0,1840021426
13368,Valley City,Valley City,46.9223,-98.0055,United States,US,USA,North Dakota,,6549.0,1840000160
13369,Lionville,Lionville,40.0524,-75.644,United States,US,USA,Pennsylvania,,6548.0,1840005502
13370,Broadway,Broadway,38.6082,-78.8017,United States,US,USA,Virginia,,6547.0,1840006136
13371,Plattsmouth,Plattsmouth,41.0053,-95.894,United States,US,USA,Nebraska,,6544.0,1840009355
13372,"Islamorada, Village of Islands","Islamorada, Village of Islands",24.9408,-80.6097,United States,US,USA,Florida,,6544.0,1840073890
13373,Eldridge,Eldridge,41.6394,-90.5805,United States,US,USA,Iowa,,6543.0,1840008182
13374,Hurricane,Hurricane,38.4294,-82.0169,United States,US,USA,West Virginia,,6542.0,1840006180
13375,Attica,Attica,42.864,-78.2799,United States,US,USA,New York,,6541.0,1840004474
13376,Avon,Avon,39.6445,-106.5133,United States,US,USA,Colorado,,6541.0,1840020194
13377,Lackland AFB,Lackland AFB,29.3866,-98.6179,United States,US,USA,Texas,,6537.0,1840074237
13378,Theodore,Theodore,30.5408,-88.1884,United States,US,USA,Alabama,,6536.0,1840013895
13379,Harrisville,Harrisville,41.2853,-111.9859,United States,US,USA,Utah,,6535.0,1840020129
13380,Woodland,Woodland,45.9149,-122.7503,United States,US,USA,Washington,,6531.0,1840021181
13381,Penn Yan,Penn Yan,42.661,-77.0535,United States,US,USA,New York,,6529.0,1840004503
13382,Litchfield,Litchfield,45.1221,-94.5255,United States,US,USA,Minnesota,,6529.0,1840008912
13383,Gulf Breeze,Gulf Breeze,30.3685,-87.1769,United States,US,USA,Florida,,6528.0,1840013920
13385,Rossford,Rossford,41.5832,-83.5692,United States,US,USA,Ohio,,6524.0,1840000624
13386,Watford City,Watford City,47.8028,-103.2678,United States,US,USA,North Dakota,,6523.0,1840001892
13387,Tipton,Tipton,40.2818,-86.0424,United States,US,USA,Indiana,,6522.0,1840010448
13389,East Porterville,East Porterville,36.0573,-118.9713,United States,US,USA,California,,6519.0,1840017691
13390,Powell,Powell,44.7963,-108.7682,United States,US,USA,Wyoming,,6516.0,1840019976
13391,Camilla,Camilla,31.2337,-84.2089,United States,US,USA,Georgia,,6511.0,1840013877
13392,Covedale,Covedale,39.1267,-84.6362,United States,US,USA,Ohio,,6510.0,1840034226
13393,Richboro,Richboro,40.2262,-75.0006,United States,US,USA,Pennsylvania,,6510.0,1840005407
13394,Galax,Galax,36.666,-80.9176,United States,US,USA,Virginia,,6505.0,1840003877
13395,Bellwood,Bellwood,37.406,-77.4363,United States,US,USA,Virginia,,6504.0,1840006407
13396,Spring Lake Park,Spring Lake Park,45.1161,-93.2451,United States,US,USA,Minnesota,,6502.0,1840008903
13397,Kosciusko,Kosciusko,33.0585,-89.5893,United States,US,USA,Mississippi,,6501.0,1840014848
13398,Oelwein,Oelwein,42.6715,-91.9133,United States,US,USA,Iowa,,6498.0,1840008007
13399,Fort Myers Shores,Fort Myers Shores,26.7135,-81.7383,United States,US,USA,Florida,,6496.0,1840014212
13400,Topsfield,Topsfield,42.6373,-70.9425,United States,US,USA,Massachusetts,,6496.0,1840053541
13401,Fowler,Fowler,36.6246,-119.6739,United States,US,USA,California,,6495.0,1840020318
13402,Talent,Talent,42.2404,-122.7807,United States,US,USA,Oregon,,6492.0,1840021300
13403,Marvin,Marvin,34.989,-80.8034,United States,US,USA,North Carolina,,6490.0,1840017880
13404,Woodfin,Woodfin,35.6458,-82.5914,United States,US,USA,North Carolina,,6489.0,1840016285
13405,Elkin,Elkin,36.2621,-80.8443,United States,US,USA,North Carolina,,6483.0,1840016031
13406,Kathleen,Kathleen,28.1224,-82.0387,United States,US,USA,Florida,,6479.0,1840014129
13407,Cheverly,Cheverly,38.9254,-76.9141,United States,US,USA,Maryland,,6477.0,1840005984
13408,Geneseo,Geneseo,41.4507,-90.154,United States,US,USA,Illinois,,6477.0,1840008205
13409,Rockaway,Rockaway,40.8969,-74.5155,United States,US,USA,New Jersey,,6474.0,1840000951
13410,Milford,Milford,42.587,-83.6012,United States,US,USA,Michigan,,6471.0,1840011058
13411,Pratt,Pratt,37.6777,-98.7465,United States,US,USA,Kansas,,6462.0,1840001687
13412,Gulf Park Estates,Gulf Park Estates,30.3801,-88.7581,United States,US,USA,Mississippi,,6461.0,1840032475
13413,Homestead Meadows South,Homestead Meadows South,31.811,-106.1643,United States,US,USA,Texas,,6460.0,1840073263
13414,Horseheads,Horseheads,42.1689,-76.8299,United States,US,USA,New York,,6460.0,1840004688
13415,Bridgeport,Bridgeport,43.3706,-83.8828,United States,US,USA,Michigan,,6458.0,1840004227
13416,Clarkston Heights-Vineland,Clarkston Heights-Vineland,46.3876,-117.0831,United States,US,USA,Washington,,6453.0,1840073891
13418,Russells Point,Russells Point,40.4681,-83.8939,United States,US,USA,Ohio,,6447.0,1840012155
13419,Genoa,Genoa,42.0929,-88.6966,United States,US,USA,Illinois,,6446.0,1840008133
13420,Oakmont,Oakmont,40.52,-79.8365,United States,US,USA,Pennsylvania,,6445.0,1840001250
13421,Moraine,Moraine,39.6983,-84.2459,United States,US,USA,Ohio,,6445.0,1840003784
13422,Garden Home-Whitford,Garden Home-Whitford,45.4642,-122.7589,United States,US,USA,Oregon,,6442.0,1840073958
13423,Jeanerette,Jeanerette,29.9157,-91.6758,United States,US,USA,Louisiana,,6441.0,1840015054
13424,Keene,Keene,32.3955,-97.3225,United States,US,USA,Texas,,6440.0,1840019469
13425,Silver Lakes,Silver Lakes,34.7519,-117.3431,United States,US,USA,California,,6437.0,1840024935
13426,Rancho Calaveras,Rancho Calaveras,38.1248,-120.857,United States,US,USA,California,,6437.0,1840018867
13427,Willis,Willis,30.4314,-95.4832,United States,US,USA,Texas,,6436.0,1840022175
13428,Village of Oak Creek,Village of Oak Creek,34.7813,-111.7606,United States,US,USA,Arizona,,6436.0,1840036808
13429,Dahlonega,Dahlonega,34.5302,-83.9796,United States,US,USA,Georgia,,6432.0,1840014672
13430,Rushville,Rushville,39.6156,-85.4466,United States,US,USA,Indiana,,6425.0,1840014235
13431,Williamston,Williamston,42.6835,-84.2836,United States,US,USA,Michigan,,6418.0,1840000420
13432,Devine,Devine,29.1457,-98.9048,United States,US,USA,Texas,,6410.0,1840019657
13433,South Run,South Run,38.7466,-77.2754,United States,US,USA,Virginia,,6409.0,1840041864
13434,Eagle,Eagle,39.6368,-106.8123,United States,US,USA,Colorado,,6408.0,1840021424
13435,Gladewater,Gladewater,32.5426,-94.9465,United States,US,USA,Texas,,6408.0,1840020745
13436,Douglas,Douglas,42.7541,-105.3968,United States,US,USA,Wyoming,,6407.0,1840018655
13437,Paloma Creek South,Paloma Creek South,33.21,-96.9327,United States,US,USA,Texas,,6406.0,1840041381
